29820,0.0687,0.0722
42680,0.0912,0.0963
42660,0.057,0.059
43300,0.1072,0.1166
26140,0.1097,0.125
13380,0.0551,0.0623
14740,0.0574,0.0593
19660,0.0882,0.0937
30980,0.1475,0.1616
10500,0.1253,0.1473
34580,0.0631,0.0682
48300,0.0714,0.0807
36100,0.105,0.1189
32900,0.0734,0.0778
27100,0.1116,0.1266
24540,0.0709,0.0786
38940,0.0919,0.0994
29420,0.0808,0.0998
41420,0.0792,0.0838
29460,0.0992,0.1132
46700,0.0629,0.0631
36260,0.0687,0.0711
28420,0.0779,0.0823
22420,0.116,0.131
37340,0.0877,0.0948
25980,0.1106,0.1236
17460,0.1109,0.1245
24300,0.0692,0.0758
41940,0.0427,0.0433
33700,0.056,0.0584
39380,0.1246,0.1388
47380,0.1221,0.1351
41620,0.0663,0.066
14260,0.0719,0.0758
15260,0.0873,0.109
49700,0.0706,0.0787
17820,0.0676,0.0683
34980,0.0779,0.0826
39900,0.0615,0.0653
36500,0.0683,0.0717
21660,0.0692,0.0745
44700,0.0636,0.0658
41100,0.0625,0.0678
20500,0.0789,0.0854
26820,0.078,0.0824
48900,0.0807,0.0854
19740,0.0677,0.0685
19100,0.0907,0.0947
14540,0.0879,0.1044
27500,0.088,0.106
36740,0.0848,0.0923
44060,0.0938,0.1049
31900,0.1428,0.1543
40140,0.0657,0.0717
23420,0.0735,0.0785
23540,0.0941,0.105
40900,0.0592,0.0605
45300,0.0913,0.1018
16740,0.0867,0.0948
47300,0.0779,0.0834
26900,0.1014,0.1132
12060,0.0874,0.0945
14500,0.0538,0.0548
37860,0.0913,0.1042
25180,0.087,0.0936
33260,0.1193,0.125
18700,0.0788,0.081
28140,0.1067,0.1216
43900,0.1201,0.1402
41740,0.0552,0.0576
40660,0.1316,0.1442
41860,0.0462,0.0467
23540,0.0941,0.105
19300,0.0842,0.0883
16860,0.1029,0.1162
46220,0.1485,0.153
39340,0.0632,0.0636
39820,0.0843,0.0941
22660,0.0559,0.0599
16940,0.0823,0.0883
31140,0.0926,0.1028
41700,0.0948,0.0996
27100,0.1116,0.1266
29020,0.1211,0.1382
24340,0.1074,0.1158
49420,0.22,0.2204
40580,0.0972,0.116
